product_card_id,product_name,product_category_id,category_id,department_id,catalog_price,product_description,product_status,unit_weight_kg,unit_volume_m3,storage_type
777,Bag Boy M330 Push Cart,35,35,6,79.98999786,,0,2.0,0.00374,Carton
1059,Pelican Maverick 100X Kayak,48,48,7,349.9899902,,0,0.8,0.00091,Carton
924,Glove It Urban Brick Golf Towel,41,41,6,15.98999977,,0,8.0,0.01249,Pallet
822,Titleist Pro V1x High Numbers Golf Balls,37,37,6,47.99000168,,0,3.0,0.0047,Carton
885,Team Golf St. Louis Cardinals Putter Grip,40,40,6,24.98999977,,0,2.0,0.00407,Carton
273,Under Armour Kids' Mercenary Slide,13,13,3,27.98999977,,0,0.5,0.00083,Carton
295,Fitbit The One Wireless Activity & Sleep Trac,38,38,6,99.94999695,,0,0.8,0.00124,Carton
191,Nike Men's Free 5.0+ Running Shoe,9,9,3,99.98999786,,0,0.2,0.00027,Carton
567,adidas Men's Germany Black Crest Away Tee,26,26,5,25.0,,0,0.3,0.00042,Carton
1004,Field & Stream Sportsman 16 Gun Fire Safe,45,45,7,399.980011,,0,1.5,0.0024,Carton
1353,Porcelain crafts,66,66,4,461.480011,,0,1.5,0.00227,Carton
1359,Adult dog supplies,72,72,11,84.40000153,,0,8.0,0.00858,Pallet
773,Titleist Small Wheeled Travel Cover,35,35,6,249.9900055,,0,0.5,0.00096,Carton
691,MDGolf Pittsburgh Penguins Putter,31,31,6,79.98999786,,0,0.8,0.00159,Carton
666,Merrell Men's All Out Flash Trail Running Sho,30,30,6,109.9899979,,0,0.8,0.00096,Carton
249,Under Armour Women's Micro G Skulpt Running S,12,12,3,54.97000122,,0,0.5,0.00082,Carton
403,Nike Men's CJ Elite 2 TD Football Cleat,18,18,4,129.9900055,,0,0.3,0.00035,Carton
778,Bag Boy Beverage Holder,35,35,6,24.98999977,,0,0.8,0.0014,Carton
251,Brooks Women's Ghost 6 Running Shoe,12,12,3,89.98999786,,0,0.5,0.00067,Carton
646,Merrell Women's Grassbow Sport Hiking Shoe,30,30,6,99.98999786,,0,1.5,0.00261,Carton
825,Bridgestone e6 Straight Distance NFL Tennesse,37,37,6,31.98999977,,0,0.8,0.00145,Carton
835,Bridgestone e6 Straight Distance NFL Carolina,37,37,6,31.98999977,,0,2.0,0.00371,Carton
306,Polar FT4 Heart Rate Monitor,38,38,6,89.98999786,,0,1.5,0.00174,Carton
1363,Summer dresses,76,76,4,215.8200073,,0,0.5,0.00101,Carton
24,Elevation Training Mask 2.0,2,2,2,79.98999786,,0,2.0,0.00258,Carton
1355,Lawn mower,68,68,6,532.5800171,,0,2.0,0.00218,Carton
607,Garmin Approach S3 Golf GPS Watch,41,41,6,249.9900055,,0,0.8,0.00131,Carton
303,Garmin Forerunner 910XT GPS Watch,38,38,6,399.9899902,,0,0.5,0.00072,Carton
671,Cleveland Golf Collegiate My Custom Wedge 588,31,31,6,209.9900055,,0,1.5,0.00288,Carton
828,Bridgestone e6 Straight Distance NFL San Dieg,37,37,6,31.98999977,,0,0.3,0.00057,Carton
235,Under Armour Hustle Storm Medium Duffle Bag,11,11,3,34.99000168,,0,0.5,0.00069,Carton
905,Team Golf Texas Longhorns Putter Grip,40,40,6,24.98999977,,0,0.2,0.00041,Carton
44,adidas Men's F10 Messi TRX FG Soccer Cleat,3,3,2,59.99000168,,0,2.0,0.00271,Carton
1351,Dell Laptop,64,64,10,1500.0,,0,1.5,0.00239,Carton
1357,Men's gala suit,70,70,4,210.8500061,,0,1.5,0.00198,Carton
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,12,12,3,94.98999786,,0,2.0,0.00407,Carton
19,Nike Men's Fingertrap Max Training Shoe,2,2,2,124.9899979,,0,0.8,0.00098,Carton
282,Under Armour Women's Ignite PIP VI Slide,13,13,3,31.98999977,,0,1.0,0.0011,Carton
906,Team Golf Tennessee Volunteers Putter Grip,40,40,6,24.98999977,,0,0.3,0.00045,Carton
172,Nike Women's Tempo Shorts,9,9,3,30.0,,0,0.3,0.00063,Carton
771,Clicgear Rovic Cooler Bag,35,35,6,39.99000168,,0,1.5,0.00298,Carton
1073,Pelican Sunstream 100 Kayak,48,48,7,199.9900055,,0,0.8,0.00147,Carton
981,The North Face Women's Recon Backpack,44,44,7,99.0,,0,1.0,0.00199,Carton
1358,Rock music,71,71,9,260.6499939,,0,2.0,0.00398,Carton
768,Titleist Club Glove Travel Cover,35,35,6,299.9899902,,0,1.5,0.00239,Carton
627,Under Armour Girls' Toddler Spine Surge Runni,29,29,5,39.99000168,,0,1.0,0.00138,Carton
565,adidas Youth Germany Black/Red Away Match Soc,26,26,5,70.0,,0,1.0,0.00186,Carton
926,Glove It Imperial Golf Towel,41,41,6,15.98999977,,0,0.5,0.00087,Carton
775,Clicgear 8.0 Shoe Brush,35,35,6,9.989999771,,0,0.2,0.00029,Carton
311,Polar Loop Activity Tracker,38,38,6,109.9499969,,0,0.8,0.00092,Carton
127,Stiga Master Series ST3100 Competition Indoor,7,7,2,329.9899902,,0,0.5,0.00092,Carton
226,Bowflex SelectTech 1090 Dumbbells,11,11,3,599.9899902,,0,0.8,0.00106,Carton
724,LIJA Women's Mid-Length Panel Golf Shorts,33,33,6,100.0,,0,3.0,0.0061,Carton
1361,Toys,74,74,7,11.53999996,,0,0.5,0.00065,Carton
797,Hirzl Women's Soffft Flex Golf Glove,36,36,6,17.98999977,,0,0.2,0.00024,Carton
1350,Children's heaters,63,63,4,357.1000061,,0,0.5,0.00096,Carton
58,Diamondback Boys' Insight 24 Performance Hybr,4,4,2,299.9899902,,0,0.5,0.00061,Carton
845,Garmin Approach S4 Golf GPS Watch,38,38,6,299.9899902,,0,1.5,0.00186,Carton
625,Nike Men's Kobe IX Elite Low Basketball Shoe,29,29,5,199.9900055,,0,1.0,0.00168,Carton
730,LIJA Women's Argyle Golf Polo,33,33,6,80.0,,0,2.0,0.00394,Carton
703,Top Flite Women's 2014 XL Hybrid,32,32,6,19.98999977,,0,1.5,0.00188,Carton
1352,Industrial consumer electronics,65,65,10,252.8800049,,0,0.8,0.0011,Carton
1347,Baby sweater,60,60,4,59.08000183,,0,2.0,0.00373,Carton
1362,Fighting video games,75,75,9,39.75,,0,0.3,0.00062,Carton
652,Merrell Women's Grassbow Sport Waterproof Hik,30,30,6,129.9900055,,0,0.2,0.00032,Carton
893,Team Golf Pittsburgh Steelers Putter Grip,40,40,6,24.98999977,,0,0.3,0.00036,Carton
93,Under Armour Men's Tech II T-Shirt,5,5,2,24.98999977,,0,1.5,0.0016,Carton
276,Under Armour Women's Ignite Slide,13,13,3,31.98999977,,0,0.8,0.00103,Carton
134,Nike Women's Legend V-Neck T-Shirt,7,7,2,25.0,,0,0.3,0.00036,Carton
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,41,41,6,21.98999977,,0,1.0,0.00176,Carton
804,Glove It Women's Imperial Golf Glove,36,36,6,19.98999977,,0,0.3,0.00035,Carton
1014,O'Brien Men's Neoprene Life Vest,46,46,7,49.97999954,,0,1.5,0.00237,Carton
35,adidas Brazuca 2014 Official Match Ball,3,3,2,159.9900055,,0,0.8,0.00142,Carton
677,TaylorMade White Smoke IN-12 Putter,31,31,6,99.98999786,,0,0.8,0.00133,Carton
278,Under Armour Men's Compression EV SL Slide,13,13,3,44.99000168,,0,0.5,0.00063,Carton
572,TYR Boys' Team Digi Jammer,26,26,5,39.99000168,,0,1.5,0.00284,Carton
886,Team Golf San Francisco Giants Putter Grip,40,40,6,24.98999977,,0,0.8,0.00144,Carton
642,Columbia Men's PFG Anchor Tough T-Shirt,29,29,5,30.0,,0,0.3,0.00055,Carton
818,Titleist Pro V1x Golf Balls,37,37,6,47.99000168,,0,0.3,0.00036,Carton
135,Nike Dri-FIT Crew Sock 6 Pack,7,7,2,22.0,,0,8.0,0.00944,Pallet
957,Diamondback Women's Serene Classic Comfort Bi,43,43,7,299.980011,,0,3.0,0.00607,Carton
60,SOLE E25 Elliptical,4,4,2,999.9899902,,0,1.5,0.0022,Carton
305,Mio ALPHA Heart Rate Monitor/Sport Watch,38,38,6,199.0,,0,0.5,0.00068,Carton
1346,Sports Books,59,59,8,31.07999992,,0,8.0,0.0125,Pallet
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,10,10,3,189.0,,0,2.0,0.00349,Carton
78,Nike Kids' Grade School KD VI Basketball Shoe,5,5,2,99.98999786,,0,1.5,0.00308,Carton
715,TaylorMade Women's RBZ SL Rescue,32,32,6,129.9900055,,0,0.8,0.00108,Carton
647,Merrell Women's Siren Mid Waterproof Hiking B,30,30,6,134.9900055,,0,0.5,0.00101,Carton
810,Glove It Women's Mod Oval Golf Glove,36,36,6,19.98999977,,0,0.3,0.00032,Carton
1360,Smart watch,73,73,2,327.75,,0,3.0,0.0049,Carton
1356,First aid kit,69,69,12,293.0400085,,0,0.8,0.00137,Carton
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,4,4,2,299.9899902,,0,0.5,0.00058,Carton
858,GolfBuddy VT3 GPS Watch,38,38,6,199.9900055,,0,0.5,0.0006,Carton
725,LIJA Women's Button Golf Dress,33,33,6,108.0,,0,1.0,0.00149,Carton
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,32,32,6,119.9899979,,0,0.3,0.00062,Carton
365,Perfect Fitness Perfect Rip Deck,17,17,4,59.99000168,,0,3.0,0.00503,Carton
793,Hirzl Women's Hybrid Golf Glove,36,36,6,14.98999977,,0,2.0,0.00406,Carton
1354,DVDs,67,67,9,164.3800049,,0,1.5,0.00284,Carton
